63;ВБРР, 001Р-02;RU000A0ZYQX9;25.07.2019;25.07.2019;BUY;1000,00;2 954;99,8000;737,02;99,7818;100,5300;0;2 954;2 948 092,00;737,02;2 947 555,09;2 969 656,20;22 101,11;0,00;-536,91;0,00;54 914,86;18,59;ДУ-001;СССД_ЦБ
64;ВБРР, 001Р-02;RU000A0ZYQX9;25.07.2019;25.07.2019;BUY;1000,00;1 000;99,8000;249,51;99,7818;100,5300;0;1 000;998 000,00;249,51;997 818,24;1 005 300,00;7 481,76;0,00;-181,76;0,00;18 590,00;18,59;ДУ-001;СССД_ЦБ
65;ВБРР, 001Р-02;RU000A0ZYQX9;25.07.2019;25.07.2019;BUY;1000,00;12 410;99,8000;3 096,30;99,7818;100,5300;0;12 410;12 385 180,00;3 096,30;12 382 924,40;12 475 773,00;92 848,60;0,00;-2 255,60;0,00;230 701,90;18,59;ДУ-001;СССД_ЦБ
66;ВБРР, 001Р-02;RU000A0ZYQX9;25.07.2019;25.07.2019;BUY;1000,00;100 000;99,8000;16 770,00;99,7818;100,5300;0;100 000;99 800 000,00;16 770,00;99 781 824,34;100 530 000,00;748 175,66;0,00;-18 175,66;0,00;1 859 000,00;18,59;ДУ-001;СССД_ЦБ
67;ВБРР, 001Р-02;RU000A0ZYQX9;14.08.2019;14.08.2019;BUY;1000,00;37 208;99,9000;9 292,70;99,7818;100,5300;0;37 208;37 170 792,00;9 292,70;37 126 821,20;37 405 202,40;278 381,20;0,00;-43 970,80;95 252,48;691 696,72;18,59;ДУ-001;СССД_ЦБ
68;ВБРР, 001Р-02;RU000A0ZYQX9;12.09.2019;12.09.2019;BUY;1000,00;8 316;100,2500;2 084,20;99,7818;100,5300;0;8 316;8 336 790,00;2 084,20;8 297 856,51;8 360 074,80;62 218,29;0,00;-38 933,49;72 848,16;154 594,44;18,59;ДУ-001;СССД_ЦБ
69;ВБРР, 001Р-02;RU000A0ZYQX9;12.09.2019;12.09.2019;BUY;1000,00;910;100,2500;228,07;99,7818;100,5300;0;910;912 275,00;228,07;908 014,60;914 823,00;6 808,40;0,00;-4 260,40;7 971,60;16 916,90;18,59;ДУ-001;СССД_ЦБ
70;ВБРР, 001Р-02;RU000A0ZYQX9;12.09.2019;12.09.2019;BUY;1000,00;10 000;100,3500;2 508,75;99,7818;100,5300;0;10 000;10 035 000,00;2 508,75;9 978 182,43;10 053 000,00;74 817,57;0,00;-56 817,57;87 600,00;185 900,00;18,59;ДУ-001;СССД_ЦБ
71;ВБРР, 001Р-02;RU000A0ZYQX9;12.09.2019;12.09.2019;BUY;1000,00;3 000;100,3500;752,63;99,7818;100,5300;0;3 000;3 010 500,00;752,63;2 993 454,73;3 015 900,00;22 445,27;0,00;-17 045,27;26 280,00;55 770,00;18,59;ДУ-001;СССД_ЦБ
72;ВБРР, 001Р-02;RU000A0ZYQX9;12.09.2019;12.09.2019;BUY;1000,00;147 000;100,3500;23 927,17;99,7818;100,5300;0;147 000;147 514 500,00;23 927,17;146 679 281,78;147 779 100,00;1 099 818,22;0,00;-835 218,22;1 287 720,00;2 732 730,00;18,59;ДУ-001;СССД_ЦБ
73;ВБРР, 001Р-02;RU000A0ZYQX9;12.09.2019;12.09.2019;BUY;1000,00;400;100,3500;100,35;99,7818;100,5300;0;400;401 400,00;100,35;399 127,30;402 120,00;2 992,70;0,00;-2 272,70;3 504,00;7 436,00;18,59;ДУ-001;СССД_ЦБ
74;ВБРР, 001Р-02;RU000A0ZYQX9;13.09.2019;13.09.2019;BUY;1000,00;9;100,3500;2,25;99,7818;100,5300;0;9;9 031,50;2,25;8 980,36;9 047,70;67,34;0,00;-51,14;80,82;167,31;18,59;ДУ-001;СССД_ЦБ
75;ВБРР, 001Р-02;RU000A0ZYQX9;05.11.2019;05.11.2019;BUY;1000,00;50 000;101,3500;12 668,76;99,7818;100,5300;0;50 000;50 675 000,00;12 668,76;49 890 912,17;50 265 000,00;374 087,83;0,00;-784 087,83;1 015 000,00;929 500,00;18,59;ДУ-001;СССД_ЦБ
76;ВБРР, 001Р-02;RU000A0ZYQX9;27.11.2019;28.11.2019;BUY;1000,00;6 651;101,3500;1 853,71;99,7818;100,5300;0;6 651;6 740 788,50;1 853,71;6 636 489,14;6 686 250,30;49 761,16;0,00;-104 299,36;167 738,22;123 642,09;18,59;ДУ-001;СССД_ЦБ
77;ВБРР, 001Р-02;RU000A0ZYQX9;27.11.2019;28.11.2019;BUY;1000,00;30 000;101,3500;8 361,38;99,7818;100,5300;0;30 000;30 405 000,00;8 361,38;29 934 547,30;30 159 000,00;224 452,70;0,00;-470 452,70;756 600,00;557 700,00;18,59;ДУ-001;СССД_ЦБ
78;ВБРР, 001Р-02;RU000A0ZYQX9;28.11.2019;29.11.2019;BUY;1000,00;4 999;101,4500;1 394,65;99,7818;100,5300;0;4 999;5 071 485,50;1 394,65;4 988 093,40;5 025 494,70;37 401,30;0,00;-83 392,10;127 124,57;92 931,41;18,59;ДУ-001;СССД_ЦБ
79;ВБРР, 001Р-02;RU000A0ZYQX9;29.11.2019;29.11.2019;BUY;1000,00;150 000;101,4500;24 626,25;99,7818;100,5300;0;150 000;152 175 000,00;24 626,25;149 672 736,51;150 795 000,00;1 122 263,49;0,00;-2 502 263,49;3 814 500,00;2 788 500,00;18,59;ДУ-001;СССД_ЦБ
80;ВБРР, 001Р-02;RU000A0ZYQX9;10.12.2019;11.12.2019;BUY;1000,00;1;101,5000;0,27;99,7818;100,5300;0;1;1 015,00;0,27;997,82;1 005,30;7,48;0,00;-17,18;27,99;18,59;18,59;ДУ-001;СССД_ЦБ
81;ВБРР, 001Р-02;RU000A0ZYQX9;11.12.2019;12.12.2019;BUY;1000,00;2;101,4900;0,56;99,7818;100,5300;0;2;2 029,80;0,56;1 995,64;2 010,60;14,96;0,00;-34,16;56,42;37,18;18,59;ДУ-001;СССД_ЦБ
82;ВБРР, 001Р-02;RU000A0ZYQX9;12.12.2019;13.12.2019;BUY;1000,00;1;101,4500;0,27;99,7818;100,5300;0;1;1 014,50;0,27;997,82;1 005,30;7,48;0,00;-16,68;28,42;18,59;18,59;ДУ-001;СССД_ЦБ
83;ВБРР, 001Р-02;RU000A0ZYQX9;16.12.2019;17.12.2019;BUY;1000,00;94;101,4500;26,22;99,7818;100,5300;0;94;95 363,00;26,22;93 794,91;94 498,20;703,29;0,00;-1 568,09;2 752,32;1 747,46;18,59;ДУ-001;СССД_ЦБ
84;ВБРР, 001Р-02;RU000A0ZYQX9;19.12.2019;20.12.2019;BUY;1000,00;8 933;101,7000;2 498,33;99,7818;100,5300;0;8 933;9 084 861,00;2 498,33;8 913 510,37;8 980 344,90;66 834,53;0,00;-171 350,63;267 275,36;166 064,47;18,59;ДУ-001;СССД_ЦБ
85;ВБРР, 001Р-02;RU000A0ZYQX9;20.12.2019;23.12.2019;BUY;1000,00;9 226;101,7000;2 580,27;99,7818;100,5300;0;9 226;9 382 842,00;2 580,27;9 205 871,11;9 274 897,80;69 026,69;0,00;-176 970,89;281 946,56;171 511,34;18,59;ДУ-001;СССД_ЦБ
86;Внешэкономбанк, ПБО-001Р-09;RU000A0JXU71;23.06.2017;23.06.2017;BUY;1000,00;449 110;100,0000;550 000,00;100,0000;102,6614;0;449 110;449 110 000,00;550 000,00;449 110 000,00;461 062 729,44;11 952 729,44;0,00;0,00;0,00;13 886 481,20;30,92;ДУ-001;СССД_ЦБ
87;Внешэкономбанк, ПБО-001Р-09;RU000A0JXU71;26.04.2018;26.04.2018;BUY;1000,00;1;102,8000;0,25;100,0000;102,6614;0;1;1 028,00;0,25;1 000,00;1 026,61;26,61;0,00;-28,00;0,00;30,92;30,92;ДУ-001;СССД_ЦБ
